added,description,url,type,required,name,start,link,location,close,open,min_study
,"<div class=""field-item even"" property=""content:encoded""><p><span style=""line-height: 1.6;"">You’d never guess where this summer could take you…</span></p>

<p>Westpac Group is seeking talented and ambitious students to take part in our 2016/2017 Summer Internship Program.</p>

<p>Our paid ten-week program is a great way to explore a career with Westpac Group and give you a taste of what is like to work for us. It is designed to ensure that our interns get an insight into the banking and finance industry – allowing you to make an informed career decision.</p>

<p>Whichever business area you choose, you will find a worthwhile investment of your time this summer. You’d never guess what skills you could develop and how much you’ll learn - what could be more rewarding than the possibility to return to university with your graduate job offer in hand.</p>

<p>We welcome applications from university students in their PENUTIMATE year of an undergraduate or post graduate degree and ask that you hold Australian permanent residency or citizenship to apply.</p>

<p>The program runs for 10 weeks from December to February and talented interns will also have the opportunity to be considered for the Graduate Program in 2018.</p>

<p><u><strong>Applications for the Summer Internship Program open Monday 27 June.</strong></u></p>

<p><u><strong>Applications close Midnight Friday 29 July 2016.</strong></u></p>

<p>Our summer internships programs will be available in the following areas</p>

<ul>
	<li>Corporate and Institutional Banking (Sydney, Brisbane, Perth and Melbourne)</li>
	<li>Financial Markets  &amp; Treasury (Sydney)</li>
	<li>Quantitative Risk Analytics (Sydney)</li>
	<li>Group Operations (Sydney &amp; Adelaide)</li>
	<li>Global Transactional Services (Sydney)</li>
</ul>
</div>",/westpac-group-summer-internship-program-20162017,Internships,None,Westpac Group Summer Internship Program 2016/2017,2016-12-01T00:00:00+11:00,http://graduates.westpacgroup.com.au/,"Sydney, Melbourne, Perth, Brisbane & Adelaide",2016-07-29T00:00:00+10:00,2016-06-27T00:00:00+10:00,
,"<div class=""field-item even"" property=""content:encoded""><p>Clayton Utz is one of Australia's leading law firms, with a reputation for standing out – and for being outstanding. With 177 partners and over 1,200 employees across six offices, we continue to build on our reputation for confident, innovative and incisive legal advice.</p>

<p>Our major areas of practice are Banking &amp; Financial Services, Commercial Litigation, Competition, Corporate, M&amp;A, Capital Markets, Environment &amp; Planning, Insurance, IP &amp; Technology, Major Projects &amp; Construction, Public Sector, Real Estate, Restructuring &amp; Insolvency, Tax, Workplace Relations, Employment &amp; Safety and Pro Bono.</p>

<p><strong>What values are important to Clayton Utz? </strong></p>

<p>At Clayton Utz, our culture is based on Trust, Respect and Co-operation – the fundamental relationship values which we all rely on in our day-to-day lives and relationships with family, friends and, importantly, with colleagues.</p>

<p>Together with our foundation value of Highest Ethical Standards, these behavioural values and expectations form our Firm Charter, the platform from which we can all work towards achieving our mission – to be The Firm of Choice.</p>

<p><strong>What distinguishes Clayton Utz from other firms?</strong></p>

<p>People. It always starts with people. At Clayton Utz, we've built a team of down-to-earth, collaborative lawyers who know that at the heart of exceptional client service is knowing what your client needs. We offer the sharpest legal minds. The clearest advice that cuts through the complexity, so our clients can concentrate on the things that really matter. And an unshakeable sense of what’s possible.</p>

<p>This offers our graduates the opportunities to work on cutting-edge, complex transactions and litigation with lawyers who are recognised as leaders in their fields. We also provide first-class training and development to support our lawyers to be the best they can be. As one of the world's top 10 pro bono firms*, graduate will also have the chance to contribute to our pro bono practice and help make a difference to the individuals and organisations it supports.</p>

<p>* Clayton Utz was named among the ten leading pro bono firms in the world in the inaugural Who's Who Legal Global Pro Bono Survey. The survey recognises firms that are leading the way in their pro bono contributions, levels of participation and efforts to institutionalise pro bono work.</p>

<p><strong><span style=""line-height: 1.6;"">Clerkship Program</span></strong></p>

<p>If you’re a law student in your penultimate year, our Clerkship Programs will expose you to the fast pace of a full-service commercial law firm and show you the law in action. You'll be working under the guidance of some of the sharpest legal minds in Australia, on challenging, complex and high-profile transactions and matters. You'll be mentored by partners and lawyers who are leaders in their fields, in a firm where individuality is embraced and innovation actively encouraged.</p>

<p>Our Clerkship Programs are our future pipeline for the Graduate Program. They are designed to give you a feel for what it’s like to be a Graduate and they are a great place to start your career.</p>

<p><strong>What stands out in an application?</strong></p>

<p>When screening applications we take into account an applicant's résumé and cover letter, strong academic results, extracurricular activities, university involvement, work experience – legal or non-legal – team work and leadership, attention to detail, and enthusiasm and motivation for a career in commercial law.</p>

<p><strong>What qualities does Clayton Utz look for in a clerk?</strong></p>

<p>The most important ingredient in our success is our people.</p>

<p>We're looking for clerks who are personable, practical, commercially-savvy, as well as flexible. Our lawyers undertake complex and innovative legal work, so it’s important that they are intelligent and motivated individuals who aren’t afraid of a challenge. We'll look at whether they've had a broad range of experiences, such as part-time employment, voluntary work, legal experience (voluntary or otherwise), or sporting, cultural or community pursuits. They need to show they have behavioural skills such as time management, initiative, goal-setting and achievement, teamwork, an understanding of client service and self-motivation.</p>

<p>Most importantly, we are looking for clerks who we'd enjoy working alongside. We want clerks who are going to be a good cultural fit and who embody the firm's values, every day, in all that they do.</p>

<p><strong>What type of work can a clerk expect to undertake?</strong></p>

<p>Over the course of the program, you’ll join legal teams and work on actual matters for our clients across a wide range of legal areas, under the supervision of a Partner or Senior Associate, and with the support of the team. You’ll have an opportunity to discover the office environment and culture at Clayton Utz first-hand, and to extend yourself and expand your knowledge.</p>

<p><strong>What other opportunities and experiences does Clayton Utz offer its clerks?</strong></p>

<p>Clayton Utz prides itself on exceptional training, and our seasonal clerks receive extensive research training and practical work experience. And because of our proud tradition of pro bono work and community involvement, seasonal clerks will have every opportunity to get involved in Pro Bono work and Community Connect initiatives.</p>

<p>We have secondment programs with various leading law firms around the world that see Clayton Utz lawyers living and working in London, New York, Tokyo, Hong Kong and India. Our Japanese exchange program with leading Japanese law firms and trading houses involves extended secondments both to and from Japan.</p>
</div>",/clayton-utz-melbourne-vacation-clerkship-program-2016,Internships,,Clayton Utz Melbourne Vacation Clerkship Program 2016 ,2016-11-01T00:00:00+11:00,https://graduates.claytonutz.com/,Melbourne ,2016-08-14T00:00:00+10:00,2016-07-11T00:00:00+10:00,
,"<div class=""field-item even"" property=""content:encoded""><p>You'll spend your three-week clerkship in a department, being supervised by a partner and a lawyer. You'll get involved in case studies and presentations within the business and really get involved in the Melbourne office community.<br>
<br>
We will be offering three clerkship periods over 2016/17. Complete an application at careers.ashurst.com between 11 July - 14 August 2016. Address your application to: Graduate Programs Consultant – Lauren Evans</p>
</div>",/ashurst-201617-seasonal-clerkships-melbourne,Internships,,Ashurst 2016/17 Seasonal Clerkships - Melbourne,2016-11-01T00:00:00+11:00,http://careers.ashurst.com/au/,"Melbourne, VIC",2016-08-14T00:00:00+10:00,2016-07-11T00:00:00+10:00,Bachelor degree
,"<div class=""field-item even"" property=""content:encoded""><p><strong>Gain first-hand exposure to life as a lawyer at an international commercial law firm.</strong><br>
Our clerkship programs offer an exceptional opportunity to experience our work, people and culture. The program runs over three to 10 weeks (this varies across each of our offices) and includes full-time work experience during your university break. Our clerkship programs are designed to give you the insights into the workings of a large corporate law firm and to help you make an informed decision on where you want to start your career.<br>
<br>
During the program, you will get involved in market leading work with some of the most experienced and talented lawyers in our industry from day one. You will be given responsibility, client contact and autonomy to run with tasks with the support of your development supervisors and buddies.<br>
<br>
You'll come away with all the insights you need to make an informed decision about where you want your career to start.<br>
<br>
We offer a range of experiences across a number of different practice groups and sectors as you complete your rotations with us.<br>
<br>
Here's a quick rundown of what you can look forward to:</p>

<ul>
	<li>An induction program that introduces you to our people and the work we do.</li>
	<li>On-the-job training with support from a partner and junior lawyer who'll act as your supervising partner and buddy.</li>
	<li>The opportunity to work with many of Australia's and the world's top 100 companies.</li>
	<li>Build strong relationships with our clients and our lawyers across our network.</li>
	<li>Tasks similar to those of a junior lawyer rotating through the group.</li>
	<li>Learn about our global secondment opportunities on offer to you early on in your career.</li>
	<li>Sports and social events where you will really get to know us and our culture.</li>
	<li>The chance to get involved in our community work.</li>
	<li>An opportunity to build a network of peers</li>
</ul>

<p><br>
After you complete a clerkship program with us, we will discuss graduate opportunities with you for the following year. Many of our clerks go on to become graduates with the firm. </p>
</div>",/allens-clerkship-program-melbourne,Internships,,Allens Clerkship Program - Melbourne,2016-11-01T00:00:00+11:00,http://www.allens.com.au/graduates,Melbourne,2016-08-14T00:00:00+10:00,2016-07-11T00:00:00+10:00,Bachelor degree
,"<div class=""field-item even"" property=""content:encoded""><p>Clayton Utz is one of Australia's leading law firms, with a reputation for standing out – and for being outstanding. With 177 partners and over 1,200 employees across six offices, we continue to build on our reputation for confident, innovative and incisive legal advice.<br>
Our major areas of practice are Banking &amp; Financial Services, Commercial Litigation, Competition, Corporate, M&amp;A, Capital Markets, Environment &amp; Planning, Insurance, IP &amp; Technology, Major Projects &amp; Construction, Public Sector, Real Estate, Restructuring &amp; Insolvency, Tax, Workplace Relations, Employment &amp; Safety and Pro Bono.<br>
<br>
<strong>What values are important to Clayton Utz?</strong><br>
At Clayton Utz, our culture is based on Trust, Respect and Co-operation – the fundamental relationship values which we all rely on in our day-to-day lives and relationships with family, friends and, importantly, with colleagues.<br>
Together with our foundation value of Highest Ethical Standards, these behavioural values and expectations form our Firm Charter, the platform from which we can all work towards achieving our mission – to be The Firm of Choice.<br>
<br>
<strong>What distinguishes Clayton Utz from other firms?</strong><br>
People. It always starts with people. At Clayton Utz, we've built a team of down-to-earth, collaborative lawyers who know that at the heart of exceptional client service is knowing what your client needs. We offer the sharpest legal minds. The clearest advice that cuts through the complexity, so our clients can concentrate on the things that really matter. And an unshakeable sense of what's possible.<br>
This offers our graduates the opportunities to work on cutting-edge, complex transactions and litigation with lawyers who are recognised as leaders in their fields. We also provide first-class training and development to support our lawyers to be the best they can be. As one of the world's top 10 pro bono firms*, graduate will also have the chance to contribute to our pro bono practice and help make a difference to the individuals and organisations it supports.<br>
* Clayton Utz was named among the ten leading pro bono firms in the world in the inaugural Who's Who Legal Global Pro Bono Survey. The survey recognises firms that are leading the way in their pro bono contributions, levels of participation and efforts to institutionalise pro bono work.<br>
<br>
<strong>Clerkship Program</strong><br>
If you're a law student in your penultimate year, our Clerkship Programs will expose you to the fast pace of a full-service commercial law firm and show you the law in action. You'll be working under the guidance of some of the sharpest legal minds in Australia, on challenging, complex and high-profile transactions and matters. You'll be mentored by partners and lawyers who are leaders in their fields, in a firm where individuality is embraced and innovation actively encouraged.<br>
Our Clerkship Programs are our future pipeline for the Graduate Program. They are designed to give you a feel for what it's like to be a Graduate and they are a great place to start your career.<br>
<br>
<strong>What stands out in an application?</strong><br>
When screening applications we take into account an applicant's résumé and cover letter, strong academic results, extracurricular activities, university involvement, work experience – legal or non-legal – team work and leadership, attention to detail, and enthusiasm and motivation for a career in commercial law.<br>
<br>
<strong>What qualities does Clayton Utz look for in a clerk?</strong><br>
The most important ingredient in our success is our people.<br>
We're looking for clerks who are personable, practical, commercially-savvy, as well as flexible. Our lawyers undertake complex and innovative legal work, so it's important that they are intelligent and motivated individuals who aren't afraid of a challenge. We'll look at whether they've had a broad range of experiences, such as part-time employment, voluntary work, legal experience (voluntary or otherwise), or sporting, cultural or community pursuits. They need to show they have behavioural skills such as time management, initiative, goal-setting and achievement, teamwork, an understanding of client service and self-motivation.<br>
Most importantly, we are looking for clerks who we'd enjoy working alongside. We want clerks who are going to be a good cultural fit and who embody the firm's values, every day, in all that they do.<br>
<br>
<strong>What type of work can a clerk expect to undertake?</strong><br>
Over the course of the program, you'll join legal teams and work on actual matters for our clients across a wide range of legal areas, under the supervision of a Partner or Senior Associate, and with the support of the team. You'll have an opportunity to discover the office environment and culture at Clayton Utz first-hand, and to extend yourself and expand your knowledge.<br>
<br>
<strong>What other opportunities and experiences does Clayton Utz offer its clerks?</strong><br>
Clayton Utz prides itself on exceptional training, and our seasonal clerks receive extensive research training and practical work experience. And because of our proud tradition of probono work and community involvement, seasonal clerks will have every opportunity to get involved in Pro Bono work and Community Connect initiatives.<br>
We have secondment programs with various leading law firms around the world that see Clayton Utz lawyers living and working in London, New York, Tokyo, Hong Kong and India. Our Japanese exchange program with leading Japanese law firms and trading houses involves extended secondments both to and from Japan.<br>
 </p>
</div>",/clayton-utz-perth-vacation-clerkship-program-2016,Internships,,Clayton Utz Perth Vacation Clerkship Program 2016,2016-11-01T00:00:00+11:00,https://graduates.claytonutz.com/,Perth ,2016-08-05T00:00:00+10:00,2016-07-18T00:00:00+10:00,
,"<div class=""field-item even"" property=""content:encoded""><p>You'll spend your three-week clerkship in a department, being supervised by a partner and a lawyer, who'll get you involved in real work. You'll learn about our specialist areas in Perth and get exposure to our collegiate environment. We offer three seperate clerkships throughout 2016/17.<br>
<br>
Complete an application at careers.ashurst.com between 18 July - 5 August 2016. Address your application to: Jacqueline Taylor, Graduate Programs Consultant. </p>
</div>",/ashurst-201617-seasonal-clerkships-perth,Internships,,Ashurst 2016/17 Seasonal Clerkships - Perth,2016-11-01T00:00:00+11:00,http://careers.ashurst.com/au/,"Perth, WA",2016-08-05T00:00:00+10:00,2016-07-18T00:00:00+10:00,Bachelor degree
,"<div class=""field-item even"" property=""content:encoded""><p>Gain first-hand exposure to life as a lawyer at an international commercial law firm<br>
<br>
Our clerkship programs offer an exceptional opportunity to experience our work, people and culture over a three-week period. There are three intakes throughout t the year - two over summer holiday and one over winter holiday, which coincide with your university break. Our clerkship programs are designed to give you the insights into the workings of a large corporate law firm and to help you make an informed decision on where you want to start your career.<br>
<br>
During the program, you will get involved in market leading work with some of the most experienced and talented lawyers in our industry from day one. You will be given responsibility, client contact and autonomy to run with tasks with the support of your development supervisors and buddies.<br>
<br>
You'll come away with all the insights you need to make an informed decision about where you want your career to start.<br>
<br>
We offer a range of experiences across a number of different practice groups and sectors as you complete your rotations with us.<br>
<br>
Here's a quick rundown of what you can look forward to:</p>

<ul>
	<li>An induction program that introduces you to our people and the work we do.</li>
	<li>On-the-job training with support from a partner and junior lawyer who'll act as your supervising partner and buddy.</li>
	<li>The opportunity to work with many of Australia's and the world's top 100 companies.</li>
	<li>Build strong relationships with our clients and our lawyers across our network.</li>
	<li>Tasks similar to those of a junior lawyer rotating through the group.</li>
	<li>Learn about our global secondment opportunities on offer to you early on in your career.</li>
	<li>Sports and social events where you will really get to know us and our culture.</li>
	<li>The chance to get involved in our community work.</li>
	<li>An opportunity to build a network of peers</li>
</ul>

<p><br>
After you complete a clerkship program with us, we will discuss graduate opportunities with you for the following year. Many of our clerks go on to become graduates with the firm. <br>
 </p>
</div>",/allens-clerkship-program-perth,Internships,None,Allens Clerkship Program - Perth,2016-11-01T00:00:00+11:00,http://www.allens.com.au/graduates,"Perth, WA",2016-08-05T00:00:00+10:00,2016-07-18T00:00:00+10:00,Bachelor degree
,"<div class=""field-item even"" property=""content:encoded""><p>At MinterEllison our aspiration is to be our clients' best partner. Our large, diverse client base includes public and private companies, leading multinationals operating in the region, global financial institutions, and government and state-owned entities.</p>

<p>We think beyond the law and apply a commercial approach and creative thinking to some of the region's most high-profile transactions, projects and disputes. We draw on the extensive capability of our own office network and relationships with other leading firms around the world to deliver seamless service to our clients wherever they need us.</p>

<p>If you start your career at MinterEllison, your experience in the first few years will be full of challenging and exciting work, support and mentorship, and professional and personal growth, all the while having the opportunity to develop new networks and friendships. We invest heavily in the development and empowerment of our talent through our carefully designed clerkship and graduate programs, and look to give graduates opportunities to collaborate, innovate and inspire from day one. This investment includes a number of MinterEllison's career development initiatives that drive our success with clients, our growth, and our unique culture.</p>

<h1><strong>Is MinterEllison where it all starts for you?</strong></h1>

<p>You should consider a career at MinterEllison if:</p>

<ul>
	<li>Your passion for excellence leads you to winning solutions.</li>
	<li>You have what it takes to apply technical thinking through the prism of commercial advice.</li>
	<li>Building relationships excites you. You see yourself outside the office, working in partnership with clients.</li>
	<li>You think outside the box and embrace new ideas.</li>
	<li>You want to feel empowered and be part of a high performance team.</li>
	<li>Collaboration and inclusiveness are principles you value.</li>
	<li>The status quo bores you. You want to be part of something different.</li>
	<li>You're looking for a Firm with a clear game plan.</li>
</ul>

<h1><strong>What you can expect:</strong></h1>

<p>Our vacation clerkships offer you real life work experience. A comprehensive orientation program and learning on the job will help you build your legal skills and commercial acumen.<br>
During our program you will:</p>

<ul>
	<li>Work closely with partners and lawyers on active matters to meet deadlines</li>
	<li>Produce quality and meaningful work</li>
	<li>Participate in tangible learning &amp; development activities and</li>
	<li>Attend social and networking events.</li>
</ul>

<p>You will also be allocated a supervisor for daily support who will help you manage your workload, and a 'buddy' for extra insight and advice.</p>

<h1><strong>You will enjoy:</strong></h1>

<ul>
	<li>a variety of challenging work for interesting clients</li>
	<li>an opportunity to develop your legal and commercial skills within our strong learning culture</li>
	<li>support and guidance from our lawyers and partners</li>
	<li>being part of a high performing team of clerks who are passionate about a career with MinterEllison</li>
	<li>a fantastic mix of real life work experience,  learning &amp; development and social activities</li>
	<li>top tier perks such as first class premises, facilities and administrative support, in-house catering, gym access and much more!</li>
</ul>

<h1><strong>Apply:</strong></h1>

<ul>
	<li>Applications close 19th August 2016</li>
	<li>To be eligible to apply for this role you must be legally permitted to work in Australia</li>
</ul>
</div>",/minterellison-20162017-vacation-clerkships-goldcoast,Internships,None,MinterEllison 2016/2017 Vacation Clerkships - Goldcoast,,http://www.minterellison.com/careers/clerks-and-graduates/,Goldcoast,2016-08-19T00:00:00+10:00,2016-08-01T00:00:00+10:00,Bachelor degree
,"<div class=""field-item even"" property=""content:encoded""><p>Let’s change the world together. Work directly with our customers and gain hands on experience and exposure into their networks. Be immersed in a small close knit group of cohorts, to collaborate on a variety of projects that have a real impact. You’ll learn from industry experts. We value your ideas, perspective on how to get things done. Work on network infrastructures. Deliver business solutions and technology solutions from data, security, mobility, and the cloud. <br>
<br>
<strong>What You’ll Do </strong></p>

<ul>
	<li>Hands-on experience with next-generation technology in Cisco’s Advanced Labs </li>
	<li>Create services that help customers manage their networks while providing strategic and tactical support </li>
	<li>Build networks consisting of a variety of Cisco equipment every day </li>
	<li>Monitor and track network recreate requests </li>
	<li>Support the lab infrastructure </li>
	<li>Collaborate with peers and mentor new co-ops </li>
	<li>Receive in-depth training and build your skills as you earn industry-leading certifications (expected to receive CCNA by the end of the intern term) </li>
</ul>

<p> </p>

<ul>
	<li>Based on the business need, your skillset, and your preference, you may also take the following route: </li>
	<li>Customer Support Engineer - Be a strategic partner to our customers, saving their business from the impact of network incidents, solving and preventing the recurrence of technical issues </li>
</ul>

<p><br>
<strong>Qualifications </strong></p>

<ul>
	<li>Currently enrolled in a bachelor’s or master's degree in a technical field, such as Networking, Computer Science, Electrical/Computer Engineering, Information Technology or a similar field </li>
	<li>Fluent in English (verbal and written) </li>
	<li>Passionate about networking, information technology or computer science </li>
	<li>Knowledge of adjacent technologies, holding Cisco Certifications (e.g., CCNA, CCNP) or industry recognized certifications is a plus </li>
	<li>Strong analytical and problem solving skills with ability to troubleshoot technical problems </li>
	<li>Ability to multi-task, self-start, work in a fast-paced team environment and work independently </li>
	<li>Willing to take on new challenges and develop new skills </li>
	<li>Must be an Australian Permanent Resident or Australian or New Zealand Citizen at the time of application </li>
</ul>

<p><strong>Why Cisco </strong><br>
We connect everything: people, processes, data, and things. We innovate everywhere, taking bold risks to shape the technologies that give us smart cities, connected cars, and handheld hospitals. And we do it in style with unique personalities who aren’t afraid to change the way the world works, lives, plays and learns. <br>
<br>
We are thought leaders, tech geeks, pop culture aficionados, and we even have a few purple haired rock stars. We celebrate the creativity and diversity that fuels our innovation. We are dreamers and we are doers. <br>
<br>
We Are Cisco. </p>
</div>",/cisco-network-engineer-intern-australia-2017,Internships,None,Cisco - Network Engineer (Intern) - Australia 2017 ,2017-01-01T00:00:00+11:00,http://www.cisco.com/web/about/ac40/life_at_cisco.html,"North Sydney, NSW",2016-08-18T00:00:00+10:00,2016-07-26T00:00:00+10:00,Bachelor degree
,"<div class=""field-item even"" property=""content:encoded""><p>At MinterEllison our aspiration is to be our clients' best partner. Our large, diverse client base includes public and private companies, leading multinationals operating in the region, global financial institutions, and government and state-owned entities.</p>

<p>We think beyond the law and apply a commercial approach and creative thinking to some of the region's most high-profile transactions, projects and disputes. We draw on the extensive capability of our own office network and relationships with other leading firms around the world to deliver seamless service to our clients wherever they need us.</p>

<p>If you start your career at MinterEllison, your experience in the first few years will be full of challenging and exciting work, support and mentorship, and professional and personal growth, all the while having the opportunity to develop new networks and friendships. We invest heavily in the development and empowerment of our talent through our carefully designed clerkship and graduate programs, and look to give graduates opportunities to collaborate, innovate and inspire from day one. This investment includes a number of MinterEllison's career development initiatives that drive our success with clients, our growth, and our unique culture.</p>

<h1><strong>Is MinterEllison where it all starts for you?</strong></h1>

<p>You should consider a career at MinterEllison if:</p>

<ul>
	<li>Your passion for excellence leads you to winning solutions.</li>
	<li>You have what it takes to apply technical thinking through the prism of commercial advice.</li>
	<li>Building relationships excites you. You see yourself outside the office, working in partnership with clients.</li>
	<li>You think outside the box and embrace new ideas.</li>
	<li>You want to feel empowered and be part of a high performance team.</li>
	<li>Collaboration and inclusiveness are principles you value.</li>
	<li>The status quo bores you. You want to be part of something different.</li>
	<li>You're looking for a Firm with a clear game plan.</li>
</ul>

<h1><strong>What you can expect:</strong></h1>

<p>Our vacation clerkships offer you real life work experience. A comprehensive orientation program and learning on the job will help you build your legal skills and commercial acumen.<br>
During our program you will:</p>

<ul>
	<li>Work closely with partners and lawyers on active matters to meet deadlines</li>
	<li>Produce quality and meaningful work</li>
	<li>Participate in tangible learning &amp; development activities and</li>
	<li>Attend social and networking events.</li>
</ul>

<p>You will also be allocated a supervisor for daily support who will help you manage your workload, and a 'buddy' for extra insight and advice.</p>

<h1><strong>You will enjoy:</strong></h1>

<ul>
	<li>a variety of challenging work for interesting clients</li>
	<li>an opportunity to develop your legal and commercial skills within our strong learning culture</li>
	<li>support and guidance from our lawyers and partners</li>
	<li>being part of a high performing team of clerks who are passionate about a career with MinterEllison</li>
	<li>a fantastic mix of real life work experience,  learning &amp; development and social activities</li>
	<li>top tier perks such as first class premises, facilities and administrative support, in-house catering, gym access and much more!</li>
</ul>

<h1><strong>Apply: </strong></h1>

<ul>
	<li>Applications open 11th July 2016</li>
	<li>Applications close 14th August 2016</li>
	<li>To be eligible to apply for this role you must be legally permitted to work in Australia</li>
</ul>
</div>",/minterellison-20162017-vacation-clerkships-melbourne,Internships,None,MinterEllison 2016/2017 Vacation Clerkships - Melbourne,2016-11-01T00:00:00+11:00,http://www.minterellison.com/careers/clerks-and-graduates/,Melbourne ,2016-08-14T00:00:00+10:00,2016-07-11T00:00:00+10:00,Bachelor degree
